"FriendlyName","Status","Present","InstanceId"
"VINGAJOY CL 6300","OK","True","BTHENUM\DEV_2CE4C2780B78\8&2A485BA0&0&BLUETOOTHDEVICE_2CE4C2780B78"
"VINGAJOY CL 6300 Avrcp Transport","OK","True","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\8&2A485BA0&0&2CE4C2780B78_C00000000"
"KGA RAVE Bluetooth Speaker Avrcp Transport","OK","True","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&4142DF5C4A0A_C00000000"
"Bluetooth Device (RFCOMM Protocol TDI)","OK","True","BTH\MS_RFCOMM\7&2690852&0&0"
"Superr","OK","True","BTHENUM\DEV_E84C9231B3D2\8&2A485BA0&0&BLUETOOTHDEVICE_E84C9231B3D2"
"Personal Area Network NAP Service","OK","True","BTHENUM\{00001116-0000-1000-8000-00805F9B34FB}_VID&00010046_PID&1200\8&2A485BA0&0&087F985CD600_C00000000"
"creatall 3.0 BT Avrcp Transport","OK","True","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\8&2A485BA0&0&94E04D095082_C00000000"
"Bluetooth music Avrcp Transport","OK","True","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&414271BE3A07_C00000000"
"FVIP Avrcp Transport","OK","True","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&41429AC1F333_C00000000"
"T2","OK","True","BTHENUM\DEV_4142DF15B34A\8&2A485BA0&0&BLUETOOTHDEVICE_4142DF15B34A"
"NB140N Avrcp Transport","OK","True","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&4142F0DD7C23_C00000000"
"T2 Avrcp Transport","OK","True","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&4142DF15B34A_C00000000"
"creatall 3.0 BT Avrcp Transport","OK","True","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\8&2A485BA0&0&94E04D095082_C00000000"
"??? . . ?????? . . Avrcp Transport","OK","True","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&00010046_PID&1200\8&2A485BA0&0&087F985CD600_C00000000"
"M19 Avrcp Transport","OK","True","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&414249EDDA21_C00000000"
"Object Push Service","OK","True","BTHENUM\{00001105-0000-1000-8000-00805F9B34FB}_VID&00010046_PID&1200\8&2A485BA0&0&087F985CD600_C00000000"
"Sim Access Service","OK","True","BTHENUM\{0000112D-0000-1000-8000-00805F9B34FB}_VID&00010046_PID&1200\8&2A485BA0&0&087F985CD600_C00000000"
"??? . . ?????? . . Avrcp Transport","OK","True","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&00010046_PID&1200\8&2A485BA0&0&087F985CD600_C00000000"
"Phonebook Access Pse Service","OK","True","BTHENUM\{0000112F-0000-1000-8000-00805F9B34FB}_VID&00010046_PID&1200\8&2A485BA0&0&087F985CD600_C00000000"
"??? . . ?????? . .","OK","True","BTHENUM\DEV_087F985CD600\8&2A485BA0&0&BLUETOOTHDEVICE_087F985CD600"
"Realtek Bluetooth 5 Adapter","OK","True","USB\VID_0BDA&PID_B00C\00E04C000001"
"BT Avrcp Transport","OK","True","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\8&2A485BA0&0&4B5806FA92D6_C00000000"
"Superr Avrcp Transport","OK","True","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\8&2A485BA0&0&E84C9231B3D2_C00000000"
"KGA RAVE Bluetooth Speaker Avrcp Transport","OK","True","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&4142DF5C4A0A_C00000000"
"Personal Area Network Service","OK","True","BTHENUM\{00001115-0000-1000-8000-00805F9B34FB}_VID&00010046_PID&1200\8&2A485BA0&0&087F985CD600_C00000000"
"M19","OK","True","BTHENUM\DEV_414249EDDA21\8&2A485BA0&0&BLUETOOTHDEVICE_414249EDDA21"
"T2 Avrcp Transport","OK","True","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&4142DF15B34A_C00000000"
"Microsoft Bluetooth Enumerator","OK","True","BTH\MS_BTHBRB\7&2690852&0&1"
"BT Avrcp Transport","OK","True","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\8&2A485BA0&0&4B5806FA92D6_C00000000"
"Superr Avrcp Transport","OK","True","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\8&2A485BA0&0&E84C9231B3D2_C00000000"
"Bluetooth music","OK","True","BTHENUM\DEV_414271BE3A07\8&2A485BA0&0&BLUETOOTHDEVICE_414271BE3A07"
"Bluetooth music Avrcp Transport","OK","True","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&414271BE3A07_C00000000"
"FVIP Avrcp Transport","OK","True","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&41429AC1F333_C00000000"
"BT","OK","True","BTHENUM\DEV_4B5806FA92D6\8&2A485BA0&0&BLUETOOTHDEVICE_4B5806FA92D6"
"Microsoft Bluetooth LE Enumerator","OK","True","BTH\MS_BTHLE\7&2690852&0&3"
"NB140N Avrcp Transport","OK","True","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&4142F0DD7C23_C00000000"
"creatall 3.0 BT","OK","True","BTHENUM\DEV_94E04D095082\8&2A485BA0&0&BLUETOOTHDEVICE_94E04D095082"
"Headset Audio Gateway Service","OK","True","BTHENUM\{00001112-0000-1000-8000-00805F9B34FB}_VID&00010046_PID&1200\8&2A485BA0&0&087F985CD600_C00000000"
"VINGAJOY CL 6300 Avrcp Transport","OK","True","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&000105D6_PID&000A\8&2A485BA0&0&2CE4C2780B78_C00000000"
"M19 Avrcp Transport","OK","True","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_LOCALMFG&005D\8&2A485BA0&0&414249EDDA21_C00000000"
"KGA RAVE Bluetooth Speaker","OK","True","BTHENUM\DEV_4142DF5C4A0A\8&2A485BA0&0&BLUETOOTHDEVICE_4142DF5C4A0A"
"FVIP","OK","True","BTHENUM\DEV_41429AC1F333\8&2A485BA0&0&BLUETOOTHDEVICE_41429AC1F333"
"NB140N","OK","True","BTHENUM\DEV_4142F0DD7C23\8&2A485BA0&0&BLUETOOTHDEVICE_4142F0DD7C23"
